ItemID,ItemName,CurrentValue,LowValue,LowSeenDate,HighValue,HighSeenDate,Override,Taxed,Bottleneck,Mat1Qty,Mat1,Mat2Qty,Mat2,Mat3Qty,Mat3,Mat4Qty,Mat4,Mat5Qty,Mat5,Mat6Qty,Mat6,ProductionMultiplier,CritChance,CritProduct,Source,Tag,Tag2,Description
517,HP Potion (Small),80,80,,80,,,Yes,No,,,,,,,,,,,,,,,,Vendor,,,
518,HP Potion (Medium),200,200,,200,,,Yes,No,,,,,,,,,,,,,,,,Vendor,,,
520,MP Potion (Small),80,80,,80,,,Yes,No,,,,,,,,,,,,,,,,Vendor,,,
521,MP Potion (Medium),200,200,,200,,,Yes,No,,,,,,,,,,,,,,,,Vendor,,,
575,Whale Tendon Potion,94500,94500,,94500,,,Yes,No,1,Blue Whale Tendon,3,HP Potion (Medium),3,MP Potion (Medium),8,Purified Water,,,,,2.5,0.3,Superior Whale Tendon Potion,Alchemy,,,
576,Superior Whale Tendon Potion,126000,126000,,126000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
664,Elixir of Amity,13789,13789,,13789,,,Yes,No,1,Legendary Beast's Blood,5,Fire Flake Flower,6,Ash Sap,3,Black Stone Powder,,,,,2.5,0.3,Improved Elixir of Amity,Alchemy,,,
665,Improved Elixir of Amity,62784,62784,,62784,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
668,Resurrection Elixir,994,994,,994,,,Yes,No,1,Clear Liquid Reagent,3,Sunrise Herb,3,Purified Water,2,HP Potion (Small),,,,,2.5,0.3,Strong Resurrection Elixir,Alchemy,,,
669,Strong Resurrection Elixir,20447,20447,,20447,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
670,Elixir of Human Hunt,5503,5503,,5503,,,Yes,No,1,Clown's Blood,4,Fortune Teller Mushroom,4,Maple Sap,3,Black Stone Powder,,,,,2.5,0.3,Elixir of Perfect Human Hunt,Alchemy,,,
671,Elixir of Perfect Human Hunt,59808,59808,,59808,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
672,Elixir of Frenzy,71552,71552,,71552,,,Yes,No,1,Oil of Regeneration,5,Clear Liquid Reagent,5,Cedar Sap,3,Trace of Battle,2,Ghost Mushroom,,,2.5,0.3,Elixir of Endless Frenzy,Alchemy,,,
673,Elixir of Endless Frenzy,117861,117861,,117861,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
